Date,Open,High,Low,Close,Adj Close,Volume,OpenSPY,HighSPY,LowSPY,CloseSPY,AdjCloseSPY,VolumeSPY
2020-01-02,326.100006,329.980011,324.779999,0,329.809998,4485800,323.540009,324.890015,322.529999,0,318.914307,59151200
2020-01-03,326.779999,329.859985,325.529999,-0.011855323,325.899994,3806900,321.160004,323.640015,321.100006,-0.007572232,316.499451,77709700
2020-01-06,323.119995,336.359985,321.200012,0.0182529,335.829987,5663100,320.48999,323.730011,320.359985,-0.003786068,317.706909,55653900
2020-01-07,336.470001,336.700012,330.299988,0.002850132,330.75,4703200,323.019989,323.540009,322.23999,-0.006587201,316.813568,40496400
2020-01-08,331.48999,342.700012,331.049988,0.028652897,339.26001,7104500,322.940002,325.779999,322.670013,-0.001292773,318.502075,68296000
2020-01-09,342,343.420013,334.609985,0.017737504,335.660004,4709300,326.160004,326.730011,325.519989,0.005479112,320.661682,48473300
2020-01-10,337.130005,338.5,327.269989,-0.002304387,329.049988,4718300,327.290009,327.459991,325.200012,0.002585637,319.738922,53029300
2020-01-13,331.799988,340.850006,331.51001,0.02762201,338.920013,6290000,326.390015,327.959991,325.920013,0.009480768,321.937866,47086800
2020-01-14,344.399994,345.380005,335.519989,0.026924605,338.690002,7199400,327.470001,328.619995,326.839996,0.007941691,321.447052,62832800
2020-01-15,338.679993,343.170013,336.600006,0.028076799,339.070007,5158000,327.350006,329.019989,327.26001,0.010219494,322.173462,72056600
2020-01-16,343.5,343.559998,335.850006,0.026712341,338.619995,5016000,329.700012,330.920013,329.450012,0.018622889,324.853424,54050300
2020-01-17,341,341.570007,337.380005,0.029896046,339.670013,6066500,331.700012,332.179993,330.850006,0.021793385,325.864594,95846000
2020-01-21,340,341,332.589996,0.025165965,338.109985,14350300,330.899994,332.179993,330.820007,0.019792511,325.226471,77742400
2020-01-22,332.549988,336.299988,323.600006,-0.0115521,326,21730000,332.23999,332.950012,331.170013,0.019915662,325.265717,48914900
2020-01-23,326.040009,349.880005,325.01001,0.060004269,349.600006,18200300,330.630005,332.170013,329.410004,0.021085376,325.638763,51963000
2020-01-24,348.459991,359.850006,345.880005,0.070798357,353.160004,17939700,332.440002,332.529999,327.359985,0.012004784,322.742828,87578400
2020-01-27,345.950012,351.899994,341.019989,0.039628899,342.880005,7709500,323.029999,325.119995,322.660004,-0.004217056,317.569458,84062500
2020-01-28,345.880005,352.399994,342.779999,0.056729605,348.519989,6821600,325.059998,327.850006,323.600006,0.006217933,320.897308,63834000
2020-01-29,349,349.399994,338.549988,0.040477869,343.160004,7643500,328.380005,328.630005,326.399994,0.00538677,320.632233,53888900
2020-01-30,341.100006,348.200012,339.25,0.05436461,347.73999,5328100,324.359985,327.910004,323.540009,0.008649608,321.672821,75491800
2020-01-31,347.390015,347.390015,340.980011,0.046329699,345.089996,5230000,327,327.170013,320.730011,-0.009665356,315.831909,113845600
2020-02-03,347.23999,359.630005,346.279999,0.085473461,358,6674900,323.350006,326.160004,323.220001,-0.002308616,318.178101,69242300
2020-02-04,361,369.570007,356.100006,0.118856348,369.01001,7161500,328.070007,330.01001,327.720001,0.012897476,323.027496,62573200
2020-02-05,375.130005,375.25,362.299988,0.12085751,369.670013,6437000,332.269989,333.089996,330.670013,0.024594423,326.757843,65951100
2020-02-06,369.600006,371.549988,362.51001,0.112610334,366.950012,3920400,333.910004,334.190002,332.799988,0.028042036,327.85733,50359700
2020-02-07,365.040009,371.799988,363.570007,0.112064495,366.769989,4385200,332.820007,333.98999,331.600006,0.022562924,326.109955,64139400
2020-02-10,365,374.799988,362.519989,0.12510236,371.070007,5294100,331.230011,334.75,331.190002,0.030196688,328.544495,42070000
2020-02-11,373.75,378.109985,369.720001,0.133046312,373.690002,4772900,336.160004,337.019989,334.679993,0.03198207,329.113861,54864500
